goos: darwin
goarch: arm64
pkg: github.com/DataDog/go-libddwaf/v5
cpu: Apple M4 Max
BenchmarkWAF/RequestResponse-16             	   19810	     59964 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19936	     60118 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   20126	     59890 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19726	     60390 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19622	     61707 ns/op	    6451 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19650	     60842 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19894	     60734 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19627	     60842 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19716	     61018 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/RequestResponse-16             	   19688	     60907 ns/op	    6450 B/op	     132 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  216375	      5635 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  215787	      5619 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  215701	      5641 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  213337	      5613 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  217952	      5584 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  214149	      5596 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  213907	      5644 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  212492	      5664 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  215790	      5582 ns/op	    4691 B/op	      84 allocs/op
BenchmarkWAF/Run/SmallRuleset/NoAttack-16   	  215690	      5571 ns/op	    4691 B/op	      84 allocs/op
